index,elelment,x,y,z
12635,H,4.062,4.018,8.444
12636,H,3.959,3.914,8.404
12637,O,5.127,0.218,5.612
12638,H,5.072,0.231,5.535
12639,H,5.213,0.251,5.587
12640,O,3.349,1.778,11.256
12641,H,3.302,1.704,11.217
12642,H,3.392,1.741,11.333
12643,O,6.741,7.894,9.564
12644,H,6.754,7.943,9.645
12645,H,6.669,7.834,9.583
12646,O,5.168,4.478,10.175
12647,H,5.185,4.472,10.269
12648,H,5.082,4.52,10.169
12649,O,1.248,6.359,8.114
12650,H,1.171,6.38,8.167
12651,H,1.215,6.301,8.046
12652,O,5.463,2.936,11.563
12653,H,5.4,2.875,11.526
12654,H,5.411,2.992,11.62
12655,O,5.341,4.996,8.621
12656,H,5.272,4.986,8.555
12657,H,5.294,5.017,8.702
12658,O,5.222,4.338,11.995
12659,H,5.316,4.347,11.976
12660,H,5.21,4.245,12.013
12661,O,3.984,6.625,7.107
12662,H,4.009,6.575,7.184
12663,H,3.889,6.621,7.106
12664,O,2.48,5.711,10.906
12665,H,2.421,5.783,10.884
12666,H,2.531,5.695,10.827
12667,O,7.308,5.66,6.899
12668,H,7.322,5.566,6.907
12669,H,7.301,5.691,6.989
12670,O,3.956,0.915,9.347
12671,H,3.924,0.87,9.426
12672,H,3.983,0.845,9.288
12673,O,8.368,6.323,8.568
12674,H,8.291,6.35,8.517
12675,H,8.356,6.229,8.58
12676,O,3.548,6.654,11.257
12677,H,3.568,6.72,11.191
12678,H,3.57,6.57,11.216
12679,O,4.749,5.879,7.336
12680,H,4.754,5.957,7.281
12681,H,4.656,5.87,7.355
12682,O,1.931,6.375,6.713
12683,H,1.901,6.438,6.647
12684,H,1.925,6.423,6.796
12685,O,2.166,6.403,11.329
12686,H,2.08,6.435,11.301
12687,H,2.197,6.469,11.39
12688,O,2.138,5.748,5.372
12689,H,2.191,5.726,5.448
12690,H,2.145,5.673,5.314
12691,O,7.24,7.204,8.044
12692,H,7.322,7.198,8.094
12693,H,7.268,7.206,7.953
12694,O,4.656,0.957,6.263
12695,H,4.72,0.908,6.315
12696,H,4.7,0.974,6.18
12697,O,2.319,7.704,11.337
12698,H,2.284,7.666,11.418
12699,H,2.274,7.788,11.329
12700,O,4.794,5.511,6.451
12701,H,4.872,5.473,6.49
12702,H,4.754,5.561,6.522
12703,O,4.747,1.328,10.493
12704,H,4.767,1.246,10.448
12705,H,4.691,1.376,10.432
12706,O,7.248,4.985,7.603
12707,H,7.154,4.998,7.61
12708,H,7.262,4.958,7.513
12709,O,3.402,6.026,8.692
12710,H,3.329,6.086,8.706
12711,H,3.402,6.009,8.597
12712,O,4.408,1.727,11.172
12713,H,4.345,1.799,11.18
12714,H,4.409,1.706,11.078
12715,O,7.269,3.526,9.712
12716,H,7.334,3.486,9.655
12717,H,7.266,3.618,9.685
12718,O,1.411,3.776,11.118
12719,H,1.483,3.799,11.059
12720,H,1.365,3.859,11.133
12721,O,5.024,7.916,7.126
12722,H,5.04,7.975,7.2
12723,H,4.97,7.967,7.066
12724,O,2.777,4.267,9.844
12725,H,2.703,4.327,9.848
12726,H,2.809,4.262,9.934
12727,O,3.526,7.554,7.956
12728,H,3.589,7.583,7.89
12729,H,3.482,7.634,7.983
12730,O,4.658,3.281,8.872
12731,H,4.597,3.241,8.934
12732,H,4.673,3.369,8.906
12733,O,1.241,1.032,11.05
12734,H,1.218,1.003,10.961
12735,H,1.179,1.103,11.068
12736,O,4.701,5.815,11.458
12737,H,4.663,5.863,11.532
12738,H,4.659,5.729,11.461
12739,O,1.648,3.094,7.067
12740,H,1.562,3.133,7.051
12741,H,1.658,3.03,6.996
12742,O,8.064,7.003,11.112
12743,H,8.105,7.089,11.107
12744,H,8.039,6.993,11.203
12745,O,2.769,3.587,6.96
12746,H,2.807,3.606,6.874
12747,H,2.776,3.492,6.968
12748,O,0.135,1.822,9.178
12749,H,0.092,1.902,9.148
12750,H,0.223,1.849,9.202
12751,O,1.105,4.652,10.128
12752,H,1.052,4.685,10.056
12753,H,1.105,4.557,10.117
12754,O,0.467,2.383,6.487
12755,H,0.425,2.337,6.56
12756,H,0.428,2.345,6.408
12757,O,2.091,2.722,9.819
12758,H,2.047,2.754,9.898
12759,H,2.177,2.765,9.82
12760,O,2.649,0.335,8.997
12761,H,2.563,0.312,9.032
12762,H,2.63,0.384,8.917
12763,O,5.424,4.2,6.713
12764,H,5.46,4.142,6.78
12765,H,5.337,4.223,6.746
12766,O,7.611,3.537,8.731
12767,H,7.535,3.539,8.672
12768,H,7.682,3.502,8.677
12769,O,2.12,5.211,7.944
12770,H,2.042,5.165,7.912
12771,H,2.088,5.293,7.98
12772,O,3.728,4.305,8.785
12773,H,3.757,4.214,8.786
12774,H,3.763,4.34,8.703
12775,O,0.354,2.25,6.283
12776,H,0.388,2.207,6.205
12777,H,0.27,2.287,6.256
12778,O,6.104,7.889,9.939
12779,H,6.184,7.838,9.938
12780,H,6.034,7.824,9.954
12781,O,0.397,0.426,9.686
12782,H,0.43,0.494,9.745
12783,H,0.359,0.475,9.613
12784,O,8.09,2.148,7.849
12785,H,8.121,2.208,7.917
12786,H,8.148,2.073,7.855
12787,O,1.089,0.888,11.239
12788,H,1.109,0.955,11.174
12789,H,1.07,0.938,11.319
12790,O,7.129,5.233,5.441
12791,H,7.092,5.197,5.521
12792,H,7.171,5.314,5.468
12793,O,2.262,0.937,6.97
12794,H,2.323,0.908,6.902
12795,H,2.295,0.898,7.05
12796,O,7.539,0.531,11.31
12797,H,7.585,0.539,11.394
12798,H,7.606,0.498,11.25
12799,O,6.315,3.109,8.559
12800,H,6.343,3.039,8.5
12801,H,6.335,3.19,8.51
12802,O,6.945,7.137,5.306
12803,H,7.002,7.206,5.272
12804,H,6.997,7.095,5.375
12805,O,0.095,0.087,6.751
12806,H,0.159,0.134,6.697
12807,H,0.086,0.14,6.83
12808,O,5.526,4.105,11.788
12809,H,5.591,4.035,11.782
12810,H,5.503,4.125,11.697
12811,O,4.597,2.111,10.266
12812,H,4.526,2.054,10.294
12813,H,4.56,2.16,10.192
12814,O,8.441,2.082,8.596
12815,H,8.499,2.025,8.546
12816,H,8.413,2.149,8.534
12817,O,6.133,7.715,9.002
12818,H,6.14,7.745,8.911
12819,H,6.041,7.695,9.014
12820,O,1.336,1.438,8.731
12821,H,1.351,1.358,8.781
12822,H,1.253,1.473,8.766
12823,O,3.26,7.1,6.657
12824,H,3.196,7.172,6.661
12825,H,3.245,7.051,6.738
12826,O,0.708,2.749,7.429
12827,H,0.752,2.678,7.382
12828,H,0.618,2.719,7.439
12829,O,5.452,3.202,8.352
12830,H,5.467,3.294,8.374
12831,H,5.433,3.16,8.435
12832,O,6.062,2.701,5.444
12833,H,6.044,2.747,5.526
12834,H,6.089,2.77,5.383
12835,O,0.505,2.11,5.778
12836,H,0.446,2.171,5.733
12837,H,0.534,2.05,5.709
12838,O,0.37,6.539,7.664
12839,H,0.443,6.499,7.618
12840,H,0.385,6.519,7.756
12841,O,7.971,6.154,5.715
12842,H,7.964,6.071,5.762
12843,H,7.971,6.221,5.784
12844,O,2.991,3.976,6.384
12845,H,2.901,3.958,6.412
12846,H,3.007,3.912,6.315
12847,O,6.896,2.543,11.726
12848,H,6.817,2.586,11.694
12849,H,6.953,2.615,11.754
12850,O,1.399,6.9,9.897
12851,H,1.323,6.902,9.954
12852,H,1.372,6.844,9.823
12853,O,0.825,0.385,5.793
12854,H,0.876,0.395,5.713
12855,H,0.765,0.313,5.774
12856,O,6.006,3.321,9.254
12857,H,6.076,3.378,9.224
12858,H,5.952,3.377,9.311
12859,O,1.368,3.047,6.075
12860,H,1.386,3.129,6.119
12861,H,1.288,3.014,6.116
12862,O,6.417,4.797,10.71
12863,H,6.341,4.818,10.764
12864,H,6.384,4.799,10.62
12865,O,5.73,6.119,8.002
12866,H,5.803,6.124,7.94
12867,H,5.761,6.169,8.079
12868,O,8.101,4.91,10.78
12869,H,8.13,4.948,10.697
12870,H,8.006,4.914,10.776
12871,O,1.549,5.6,7.312
12872,H,1.628,5.634,7.271
12873,H,1.51,5.675,7.357
12874,O,0.388,6.62,8.268
12875,H,0.435,6.7,8.294
12876,H,0.446,6.549,8.295
12877,O,6.481,1.945,9.572
12878,H,6.445,1.994,9.498
12879,H,6.57,1.979,9.583
12880,O,1.925,4.672,10.373
12881,H,1.945,4.762,10.347
12882,H,1.984,4.618,10.32
12883,O,8.366,3.439,9.183
12884,H,8.322,3.407,9.261
12885,H,8.308,3.508,9.149
12886,O,0.919,7.355,9.68
12887,H,1.013,7.364,9.665
12888,H,0.879,7.377,9.596
12889,O,4.867,4.801,7.122
12890,H,4.819,4.834,7.199
12891,H,4.819,4.838,7.047
12892,O,0.563,1.428,7.733
12893,H,0.498,1.406,7.799
12894,H,0.624,1.486,7.778
12895,O,0.963,7.351,8.108
12896,H,0.896,7.399,8.156
12897,H,1.044,7.367,8.157
12898,O,4.424,5.911,8.211
12899,H,4.499,5.968,8.227
12900,H,4.455,5.847,8.147
12901,O,5.328,5.659,11.701
12902,H,5.418,5.682,11.676
12903,H,5.311,5.712,11.779
12904,O,2.739,1.734,8.863
12905,H,2.813,1.674,8.863
12906,H,2.684,1.705,8.79
12907,O,3.246,5.178,8.69
12908,H,3.158,5.215,8.692
12909,H,3.304,5.254,8.688
12910,O,7.911,0.32,11.42
12911,H,7.994,0.329,11.467
12912,H,7.911,0.392,11.357
12913,O,6.744,2.396,5.014
12914,H,6.809,2.46,5.044
12915,H,6.664,2.447,5.002
12916,O,3.863,3.599,10.93
12917,H,3.807,3.671,10.903
12918,H,3.909,3.632,11.007
12919,O,1.193,4.637,7.404
12920,H,1.102,4.646,7.431
12921,H,1.244,4.676,7.475
12922,O,0.517,1.077,8.65
12923,H,0.594,1.028,8.678
12924,H,0.552,1.157,8.61
12925,O,5.853,1.884,10.326
12926,H,5.899,1.942,10.387
12927,H,5.85,1.933,10.244
12928,O,2.346,6.241,6.87
12929,H,2.432,6.283,6.866
12930,H,2.285,6.31,6.843
12931,O,1.392,5.297,10.944
12932,H,1.36,5.212,10.974
12933,H,1.47,5.313,10.999
12934,O,2.744,3.934,11.229
12935,H,2.81,3.89,11.282
12936,H,2.661,3.909,11.268
12937,O,3.238,4.067,7.455
12938,H,3.316,4.011,7.451
12939,H,3.242,4.119,7.375
12940,O,7.168,0.989,11.024
12941,H,7.153,0.897,11.005
12942,H,7.148,1.034,10.942
12943,O,5.081,7.82,11.082
12944,H,5.083,7.79,10.991
12945,H,5.014,7.766,11.124
12946,O,5.541,4.655,11.269
12947,H,5.565,4.682,11.18
12948,H,5.619,4.611,11.302
12949,O,4.126,0.458,9.761
12950,H,4.089,0.371,9.749
12951,H,4.175,0.452,9.843
12952,O,3.104,6.175,10.84
12953,H,3.05,6.13,10.775
12954,H,3.082,6.267,10.83
12955,O,6.231,5.252,11.199
12956,H,6.254,5.315,11.268
12957,H,6.305,5.257,11.137
12958,O,3.779,6.578,7.955
12959,H,3.825,6.629,8.022
12960,H,3.81,6.614,7.872
12961,O,2.242,2.789,6.455
12962,H,2.28,2.782,6.367
12963,H,2.287,2.864,6.495
12964,O,7.179,0.912,6.63
12965,H,7.198,0.954,6.714
12966,H,7.166,0.985,6.569
12967,O,3.465,0.015,5.688
12968,H,3.401,0.085,5.698
12969,H,3.43,-0.057,5.741
12970,O,0.725,4.367,5.248
12971,H,0.649,4.31,5.252
12972,H,0.731,4.394,5.156
12973,O,3.125,3.596,4.467
12974,H,3.215,3.573,4.491
12975,H,3.109,3.679,4.512
12976,O,2.701,4.264,10.105
12977,H,2.664,4.188,10.149
12978,H,2.706,4.331,10.173
12979,O,5.981,0.13,7.386
12980,H,5.949,0.061,7.445
12981,H,6.068,0.101,7.361
12982,O,1.635,0.892,11.12
12983,H,1.68,0.839,11.186
12984,H,1.575,0.947,11.17
12985,O,1.478,6.418,10.918
12986,H,1.456,6.511,10.924
12987,H,1.448,6.381,11.001
12988,O,5.496,5.973,11.618
12989,H,5.525,5.957,11.528
12990,H,5.407,6.006,11.61
12991,O,3.708,0.926,8.104
12992,H,3.615,0.912,8.089
12993,H,3.734,0.856,8.165
12994,O,7.073,6.077,5.13
12995,H,7.028,6.16,5.113
12996,H,7.103,6.084,5.22
12997,O,7.896,1.644,7.303
12998,H,7.895,1.665,7.396
12999,H,7.93,1.554,7.299
13000,O,4.775,2.555,11.717
13001,H,4.87,2.568,11.717
13002,H,4.74,2.643,11.707
13003,O,0.063,5.015,9.415
13004,H,0.038,5.016,9.323
13005,H,0.002,4.954,9.456
13006,O,3.623,2.425,8.237
13007,H,3.57,2.43,8.316
13008,H,3.56,2.417,8.165
13009,O,6.847,6.079,9.405
13010,H,6.78,6.142,9.378
13011,H,6.93,6.123,9.386
13012,O,3.209,4.389,8.316
13013,H,3.279,4.455,8.318
13014,H,3.136,4.429,8.362
13015,O,5.939,2.963,11.179
13016,H,5.86,2.916,11.207
13017,H,6.011,2.915,11.22
13018,O,0.28,7.051,5.405
13019,H,0.362,7.045,5.454
13020,H,0.305,7.088,5.32
13021,O,0.014,6.435,7.662
13022,H,-0.037,6.507,7.625
13023,H,0.096,6.476,7.691
13024,O,5.665,7.826,9.712
13025,H,5.634,7.751,9.763
13026,H,5.606,7.898,9.737
13027,O,5.305,7.74,4.571
13028,H,5.38,7.729,4.63
13029,H,5.345,7.767,4.488
13030,O,3.972,6.074,10.779
13031,H,3.904,6.141,10.771
13032,H,3.957,6.016,10.704
13033,O,4.328,2.874,5.394
13034,H,4.402,2.877,5.454
13035,H,4.318,2.781,5.373
13036,O,7.147,3.182,9.969
13037,H,7.218,3.155,9.91
13038,H,7.096,3.102,9.983
13039,O,5.408,7.897,4.946
13040,H,5.436,7.828,4.885
13041,H,5.315,7.881,4.959
13042,O,8.176,6.2,9.791
13043,H,8.128,6.17,9.869
13044,H,8.135,6.284,9.77
13045,O,5.689,2.525,6.807
13046,H,5.682,2.441,6.853
13047,H,5.769,2.517,6.756
13048,O,5.302,4.245,8.109
13049,H,5.307,4.334,8.075
13050,H,5.218,4.212,8.077
13051,O,8.379,2.264,5.974
13052,H,8.398,2.228,6.06
13053,H,8.338,2.192,5.926
13054,O,0.542,3.171,9.602
13055,H,0.472,3.156,9.538
13056,H,0.619,3.194,9.549
13057,O,1.777,6.69,5.232
13058,H,1.799,6.597,5.228
13059,H,1.824,6.729,5.158
13060,O,0.053,1.678,8.006
13061,H,-0.015,1.613,7.988
13062,H,0.121,1.663,7.94
13063,O,5.619,5.417,6.455
13064,H,5.632,5.442,6.546
13065,H,5.622,5.322,6.455
13066,O,6.59,6.177,9.61
13067,H,6.685,6.178,9.627
13068,H,6.58,6.125,9.531
13069,O,1.177,5.139,9.668
13070,H,1.081,5.142,9.662
13071,H,1.197,5.045,9.671
13072,O,7.513,0.504,5.925
13073,H,7.46,0.58,5.902
13074,H,7.593,0.542,5.961
13075,O,7.533,3.251,5.967
13076,H,7.567,3.324,6.018
13077,H,7.593,3.243,5.893
13078,O,6.682,3.226,7.037
13079,H,6.646,3.302,7.083
13080,H,6.612,3.199,6.978
13081,O,6.429,6.448,7.078
13082,H,6.397,6.361,7.055
13083,H,6.414,6.455,7.172
13084,O,3.579,4.576,6.35
13085,H,3.508,4.622,6.394
13086,H,3.648,4.568,6.416
13087,O,8.071,1.001,8.405
13088,H,8.063,1.087,8.446
13089,H,8.012,0.945,8.454
13090,O,5.19,3.155,5.523
13091,H,5.213,3.244,5.547
13092,H,5.262,3.126,5.467
13093,O,5.487,2.152,6.932
13094,H,5.431,2.176,6.858
13095,H,5.426,2.115,6.997
13096,O,0.348,1.539,9.733
13097,H,0.372,1.447,9.739
13098,H,0.333,1.566,9.824
13099,O,3.618,3.61,9.103
13100,H,3.554,3.638,9.169
13101,H,3.565,3.568,9.035
13102,O,1.203,1.636,6.962
13103,H,1.271,1.569,6.95
13104,H,1.206,1.687,6.88
13105,O,2.385,5.652,11.505
13106,H,2.397,5.605,11.422
13107,H,2.401,5.744,11.482
13108,O,3.622,0.995,11.45
13109,H,3.673,0.914,11.46
13110,H,3.665,1.041,11.377
13111,O,1.427,6.599,9.173
13112,H,1.432,6.508,9.144
13113,H,1.508,6.639,9.142
13114,O,0.761,1.437,9.929
13115,H,0.712,1.51,9.966
13116,H,0.695,1.369,9.913
13117,O,6.679,3.025,7.563
13118,H,6.661,3.062,7.649
13119,H,6.604,3.049,7.51
13120,O,0.856,3.018,9.038
13121,H,0.948,3.015,9.063
13122,H,0.81,2.977,9.111
13123,O,0.941,4.491,6.704
13124,H,0.869,4.522,6.759
13125,H,0.96,4.403,6.736
13126,O,3.85,7.822,9.468
13127,H,3.912,7.844,9.398
13128,H,3.771,7.795,9.421
13129,O,1.445,6.148,5.717
13130,H,1.374,6.196,5.759
13131,H,1.525,6.185,5.754
13132,O,3.057,5.194,10.068
13133,H,3,5.192,10.145
13134,H,3.066,5.103,10.042
13135,O,7.885,3.879,6.213
13136,H,7.838,3.918,6.14
13137,H,7.966,3.93,6.22
13138,O,3.152,0.122,9.995
13139,H,3.224,0.174,10.031
13140,H,3.118,0.175,9.923
13141,O,6.628,2.83,9.28
13142,H,6.548,2.847,9.229
13143,H,6.597,2.786,9.359
13144,O,7.423,5.541,9.278
13145,H,7.415,5.633,9.255
13146,H,7.406,5.538,9.372
13147,O,3.817,6.046,9.592
13148,H,3.794,5.954,9.581
13149,H,3.795,6.087,9.508
13150,O,4.229,5.622,7.142
13151,H,4.311,5.672,7.14
13152,H,4.205,5.613,7.049
13153,O,2.964,6.731,7.579
13154,H,2.928,6.655,7.533
13155,H,3.044,6.699,7.619
13156,O,0.579,3.507,5.65
13157,H,0.527,3.452,5.591
13158,H,0.527,3.587,5.661
13159,O,4.379,4.602,5.084
13160,H,4.323,4.676,5.106
13161,H,4.321,4.54,5.039
13162,O,3.705,5.428,6.132
13163,H,3.687,5.391,6.045
13164,H,3.638,5.495,6.144
13165,O,7.656,7.182,11.108
13166,H,7.697,7.261,11.073
13167,H,7.708,7.11,11.073
13168,O,2.597,4.988,6.816
13169,H,2.634,4.902,6.796
13170,H,2.555,4.976,6.901
13171,O,1.894,3.042,8.716
13172,H,1.934,3.118,8.759
13173,H,1.924,2.967,8.768
13174,O,8.418,5.133,11.176
13175,H,8.359,5.07,11.134
13176,H,8.505,5.094,11.167
13177,O,1.24,4.343,5.458
13178,H,1.28,4.403,5.395
13179,H,1.301,4.341,5.531
13180,O,3.194,7.92,7.739
13181,H,3.28,7.904,7.7
13182,H,3.206,8,7.79
13183,O,3.646,6.009,11.036
13184,H,3.587,5.985,11.106
13185,H,3.696,6.083,11.07
13186,O,3.487,7.881,6.29
13187,H,3.561,7.822,6.276
13188,H,3.491,7.942,6.216
13189,O,6.737,2.443,11.091
13190,H,6.796,2.482,11.026
13191,H,6.734,2.35,11.068
13192,O,7.853,3.479,6.481
13193,H,7.765,3.445,6.463
13194,H,7.864,3.469,6.575
13195,O,0.314,6.012,6.052
13196,H,0.388,6.069,6.072
13197,H,0.305,5.956,6.129
13198,O,7.447,3.07,11.146
13199,H,7.437,3.005,11.077
13200,H,7.394,3.144,11.117
13201,O,7.427,3.411,9.498
13202,H,7.41,3.349,9.426
13203,H,7.515,3.387,9.529
13204,O,2.671,2.804,7.018
13205,H,2.677,2.712,6.994
13206,H,2.643,2.804,7.11
13207,O,5.386,4.477,6.001
13208,H,5.445,4.416,6.044
13209,H,5.369,4.437,5.915
13210,O,3.992,4.598,5.023
13211,H,4.015,4.545,5.1
13212,H,4.022,4.687,5.046
13213,O,7.652,6.584,6.516
13214,H,7.638,6.656,6.454
13215,H,7.682,6.511,6.462
13216,O,5.728,0.084,9.266
13217,H,5.754,0.026,9.338
13218,H,5.653,0.04,9.227
13219,O,0.933,1.979,5.96
13220,H,0.897,2.059,5.921
13221,H,0.859,1.941,6.008
13222,O,7.383,5.437,7.674
13223,H,7.43,5.509,7.717
13224,H,7.404,5.36,7.727
13225,O,3.193,3.724,5.326
13226,H,3.182,3.705,5.233
13227,H,3.117,3.685,5.368
13228,O,1.403,1.439,10.655
13229,H,1.336,1.472,10.595
13230,H,1.389,1.344,10.657
13231,O,7.271,0.815,10.752
13232,H,7.278,0.901,10.709
13233,H,7.362,0.784,10.757
13234,O,5.571,1.993,9.888
13235,H,5.647,1.986,9.945
13236,H,5.53,2.076,9.912
13237,O,0.876,6.001,7.488
13238,H,0.785,6.012,7.46
13239,H,0.927,6.008,7.407
13240,O,6.779,1.236,6.173
13241,H,6.868,1.23,6.136
13242,H,6.793,1.245,6.267
13243,O,3.19,5.035,6.314
13244,H,3.282,5.054,6.292
13245,H,3.189,5.029,6.409
13246,O,4.199,7.44,11.145
13247,H,4.19,7.439,11.05
13248,H,4.116,7.404,11.177
13249,O,0.658,0.481,10.071
13250,H,0.601,0.41,10.101
13251,H,0.728,0.436,10.024
13252,O,0.625,3.794,11.056
13253,H,0.721,3.791,11.065
13254,H,0.598,3.702,11.06
13255,O,1.388,3.11,10.405
13256,H,1.408,3.163,10.482
13257,H,1.315,3.156,10.363
13258,O,5.224,4.821,10.875
13259,H,5.227,4.904,10.923
13260,H,5.13,4.805,10.861
13261,O,3.234,2.382,9.691
13262,H,3.28,2.411,9.611
13263,H,3.194,2.298,9.666
13264,O,1.761,5.858,10.754
13265,H,1.75,5.78,10.809
13266,H,1.681,5.862,10.701
13267,O,3.921,3.587,6.222
13268,H,3.905,3.562,6.314
13269,H,4.016,3.598,6.217
13270,O,0.403,2.933,7.274
13271,H,0.405,2.999,7.205
13272,H,0.43,2.979,7.353
13273,O,3.502,5.595,6.162
13274,H,3.488,5.646,6.082
13275,H,3.416,5.56,6.183
13276,O,4.605,0.79,6.613
13277,H,4.559,0.797,6.529
13278,H,4.657,0.87,6.619
13279,O,1.988,6.261,5.794
13280,H,1.931,6.329,5.759
13281,H,1.946,6.235,5.877
13282,O,4.705,3.592,11.087
13283,H,4.732,3.684,11.087
13284,H,4.647,3.584,11.163
13285,O,3.796,3.274,7.883
13286,H,3.758,3.354,7.845
13287,H,3.802,3.213,7.809
13288,O,4.773,6.911,9.335
13289,H,4.756,6.997,9.374
13290,H,4.81,6.859,9.406
13291,O,2.396,4.502,6.693
13292,H,2.425,4.41,6.697
13293,H,2.471,4.549,6.658
13294,O,2.071,0.354,9.433
13295,H,1.995,0.324,9.383
13296,H,2.033,0.397,9.51
13297,O,5.059,2.308,10.267
13298,H,5.143,2.307,10.313
13299,H,5.054,2.394,10.227
13300,O,6.678,4.613,7.336
13301,H,6.629,4.638,7.258
13302,H,6.714,4.695,7.369
13303,O,6.13,2.232,9.427
13304,H,6.109,2.158,9.484
13305,H,6.044,2.267,9.401
13306,O,3.758,4.55,6.578
13307,H,3.743,4.456,6.574
13308,H,3.751,4.571,6.671
13309,O,3.06,4.032,6.072
13310,H,3.037,4.056,5.983
13311,H,3.083,3.939,6.067
13312,O,3.272,3.159,9.58
13313,H,3.309,3.095,9.641
13314,H,3.339,3.226,9.571
13315,O,2.793,0.132,5.179
13316,H,2.773,0.051,5.132
13317,H,2.731,0.134,5.252
13318,O,5.507,4.076,8.436
13319,H,5.597,4.065,8.406
13320,H,5.473,3.986,8.44
13321,O,2.973,4.2,7.743
13322,H,3.049,4.25,7.77
13323,H,2.986,4.184,7.649
13324,O,5.07,7.12,5.387
13325,H,5.029,7.164,5.461
13326,H,5.135,7.183,5.355
13327,O,1.012,3.743,9.404
13328,H,0.941,3.758,9.341
13329,H,0.968,3.72,9.485
13330,O,4.384,0.41,9.01
13331,H,4.355,0.501,9.001
13332,H,4.479,0.414,9.001
13333,O,8.028,5.75,6.826
13334,H,8.098,5.814,6.836
13335,H,8.056,5.694,6.754
13336,O,1.338,6.512,9.855
13337,H,1.329,6.576,9.784
13338,H,1.408,6.546,9.91
13339,O,5.419,3.532,8.024
13340,H,5.425,3.623,7.994
13341,H,5.327,3.51,8.015
13342,O,3.091,0.486,6.469
13343,H,3.096,0.401,6.424
13344,H,2.997,0.504,6.475
13345,O,5.933,6.097,5.823
13346,H,5.994,6.078,5.894
13347,H,5.978,6.067,5.744
13348,O,6.042,4.413,10.176
13349,H,6.079,4.351,10.113
13350,H,5.959,4.441,10.136
13351,O,4.619,7.486,7.974
13352,H,4.651,7.406,7.933
13353,H,4.66,7.556,7.925
13354,O,2.717,2.651,5.981
13355,H,2.685,2.562,5.99
13356,H,2.663,2.702,6.041
13357,O,5.101,7.373,10.648
13358,H,5.022,7.385,10.596
13359,H,5.106,7.45,10.703
13360,O,8.539,7.082,11.043
13361,H,8.479,7.106,10.972
13362,H,8.559,7.166,11.086
13363,O,6.182,1.546,6.52
13364,H,6.134,1.623,6.55
13365,H,6.273,1.576,6.516
13366,O,2.64,6.761,9.338
13367,H,2.632,6.79,9.429
13368,H,2.616,6.838,9.287
13369,O,7.549,3.607,9.822
13370,H,7.558,3.614,9.917
13371,H,7.556,3.513,9.805
13372,O,1.726,1.391,7.759
13373,H,1.816,1.371,7.787
13374,H,1.721,1.487,7.761
13375,O,3.5,0.836,6.831
13376,H,3.572,0.774,6.843
13377,H,3.532,0.918,6.869
13378,O,4.471,0.15,7.293
13379,H,4.523,0.076,7.325
13380,H,4.453,0.202,7.372
13381,O,3.033,6.055,5.367
13382,H,3.119,6.055,5.325
13383,H,3.018,5.963,5.392
13384,O,4.415,2.232,10.07
13385,H,4.433,2.311,10.121
13386,H,4.32,2.23,10.063
13387,O,7.598,3.548,6.392
13388,H,7.502,3.547,6.402
13389,H,7.623,3.638,6.414
13390,O,2.251,6.214,10.982
13391,H,2.164,6.252,10.997
13392,H,2.235,6.125,10.954
13393,O,5.981,6.79,9.728
13394,H,5.994,6.875,9.688
13395,H,5.886,6.777,9.726
13396,O,0.15,7.611,11.109
13397,H,0.235,7.654,11.109
13398,H,0.116,7.627,11.197
13399,O,7.151,1.511,5.66
13400,H,7.222,1.483,5.718
13401,H,7.106,1.58,5.71
13402,O,1.079,0.839,8.422
13403,H,1.019,0.814,8.352
13404,H,1.158,0.866,8.377
13405,O,1.644,3.773,10.158
13406,H,1.631,3.773,10.063
13407,H,1.724,3.824,10.172
13408,O,7.225,4.239,5.259
13409,H,7.169,4.286,5.321
13410,H,7.268,4.172,5.312
13411,O,0.434,0.276,7.833
13412,H,0.446,0.313,7.746
13413,H,0.375,0.337,7.877
13414,O,0.696,5.842,7.068
13415,H,0.764,5.792,7.113
13416,H,0.716,5.831,6.975
13417,O,4.068,7.827,11.86
13418,H,4.061,7.905,11.805
13419,H,4.162,7.812,11.869
13420,O,7.797,4.874,9.096
13421,H,7.869,4.82,9.063
13422,H,7.824,4.898,9.184
13423,O,8.22,6.185,11.538
13424,H,8.303,6.138,11.53
13425,H,8.164,6.148,11.47
13426,O,6.933,2.746,8.849
13427,H,6.949,2.697,8.768
13428,H,6.837,2.747,8.857
13429,O,7.654,7.667,5.851
13430,H,7.695,7.612,5.785
13431,H,7.609,7.605,5.909
13432,O,3.535,2.397,9.137
13433,H,3.615,2.345,9.125
13434,H,3.467,2.347,9.092
13435,O,1.261,6.976,10.326
13436,H,1.19,6.917,10.35
13437,H,1.275,6.96,10.232
13438,O,2.863,4.546,9.255
13439,H,2.95,4.547,9.295
13440,H,2.864,4.619,9.193
13441,O,2.257,7.462,8.92
13442,H,2.196,7.39,8.905
13443,H,2.336,7.42,8.953
13444,O,5.299,4.716,10.489
13445,H,5.343,4.752,10.566
13446,H,5.367,4.715,10.421
13447,O,1.795,6.515,11.597
13448,H,1.825,6.539,11.685
13449,H,1.837,6.431,11.579
13450,O,5.447,4.293,6.204
13451,H,5.456,4.242,6.123
13452,H,5.367,4.261,6.244
13453,O,7.077,3.09,6.185
13454,H,7.154,3.121,6.233
13455,H,7.081,3.136,6.102
13456,O,7.472,2.358,6.192
